2024,2025,2026,2027,2028,2029,2030,2031
UFV CELEO BARREIRAS II,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV
UFV CELEO BARREIRAS III,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX
UFV CELEO BARREIRAS IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV CANOA GRANDE V,UFV CANOA GRANDE V,UFV CANOA GRANDE V,UFV CANOA GRANDE V,UFV CANOA GRANDE V
UFV CELEO BARREIRAS V,UFV ULA 04A,UFV ULA 04A,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI
UFV CELEO BARREIRAS VI,UFV ULA 05,UFV ULA 05,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII
UFV CELEO BARREIRAS VII,UFV ALTO SAO FRANCISCO IV,UFV ALTO SAO FRANCISCO IV,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII
UFV CELEO BARREIRAS VIII,UFV ALTO SAO FRANCISCO IX,UFV ALTO SAO FRANCISCO IX,UFV CANOA GRANDE X,UFV CANOA GRANDE X,UFV CANOA GRANDE X,UFV CANOA GRANDE X,UFV CANOA GRANDE X
UFV CELEO BARREIRAS IX,UFV ALTO SAO FRANCISCO V,UFV ALTO SAO FRANCISCO V,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI
UFV CELEO BARREIRAS X,UFV ALTO SAO FRANCISCO VII,UFV ALTO SAO FRANCISCO VII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII
UFV GAMELEIRA 1,UFV ALTO SAO FRANCISCO VIII,UFV ALTO SAO FRANCISCO VIII,UFV CANOA GRANDE XIII,UFV CANOA GRANDE XIII,UFV CANOA GRANDE XIII,UFV CANOA GRANDE XIII,UFV CANOA GRANDE XIII
UFV GAMELEIRA 2,UFV ALTO SAO FRANCISCO X,UFV ALTO SAO FRANCISCO X,UFV CANOA GRANDE XIV,UFV CANOA GRANDE XIV,UFV CANOA GRANDE XIV,UFV CANOA GRANDE XIV,UFV CANOA GRANDE XIV
UFV GAMELEIRA 3,UFV ALTO SAO FRANCISCO XI,UFV ALTO SAO FRANCISCO XI,UFV CANOA GRANDE XV,UFV CANOA GRANDE XV,UFV CANOA GRANDE XV,UFV CANOA GRANDE XV,UFV CANOA GRANDE XV
UFV GAMELEIRA 4,UFV ALTO SAO FRANCISCO XII,UFV ALTO SAO FRANCISCO XII,UFV CASCUDO 1,UFV CASCUDO 1,UFV CASCUDO 1,UFV CASCUDO 1,UFV CASCUDO 1
UFV INFINITO JANAUBA I,UFV RIBEIRO GONCALVES V,UFV DIAMANTE SOL I,UFV CASCUDO 2,UFV CASCUDO 2,UFV CASCUDO 2,UFV CASCUDO 2,UFV CASCUDO 2
UFV INFINITO JANAUBA II,UFV PARANAIBA 1,UFV DIAMANTE SOL II,UFV CASCUDO 3,UFV CASCUDO 3,UFV CASCUDO 3,UFV CASCUDO 3,UFV CASCUDO 3
UFV INFINITO JANAUBA III,UFV PARANAIBA 2,UFV DIAMANTE SOL III,UFV CASCUDO 4,UFV CASCUDO 4,UFV CASCUDO 4,UFV CASCUDO 4,UFV CASCUDO 4
UFV INFINITO JANAUBA IV,UFV PARANAIBA 3,UFV DIAMANTE SOL IV,UFV CASCUDO 5,UFV CASCUDO 5,UFV CASCUDO 5,UFV CASCUDO 5,UFV CASCUDO 5
UFV INFINITO JANAUBA V,UFV PARANAIBA 4,UFV DIAMANTE SOL V,UFV CASCUDO 6,UFV CASCUDO 6,UFV CASCUDO 6,UFV CASCUDO 6,UFV CASCUDO 6
UFV INFINITO JANAUBA VI,UFV PARANAIBA 5,UFV DIAMANTE SOL VI,UFV CASCUDO 7,UFV CASCUDO 7,UFV CASCUDO 7,UFV CASCUDO 7,UFV CASCUDO 7
UFV INFINITO JANAUBA VII,UFV PARANAIBA 6,UFV DIAMANTE SOL VII,UFV CASSILANDIA 1,UFV CASSILANDIA 1,UFV CASSILANDIA 1,UFV CASSILANDIA 1,UFV CASSILANDIA 1
UFV INFINITO JANAUBA VIII,UFV PARANAIBA 7,UFV DIAMANTE SOL VIII,UFV CASSILANDIA 2,UFV CASSILANDIA 2,UFV CASSILANDIA 2,UFV CASSILANDIA 2,UFV CASSILANDIA 2
UFV JANAUBA VLT I,UFV PARANAIBA 8,UFV DIAMANTE SOL X,UFV CASSILANDIA 3,UFV CASSILANDIA 3,UFV CASSILANDIA 3,UFV CASSILANDIA 3,UFV CASSILANDIA 3
UFV JANAUBA VLT II,UFV PARANAIBA 9,UFV DIAMANTE SOL XIII,UFV CASSILANDIA 4,UFV CASSILANDIA 4,UFV CASSILANDIA 4,UFV CASSILANDIA 4,UFV CASSILANDIA 4
UFV JANAUBA VLT III,UFV PARANAIBA 10,UFV DIAMANTE SOL XIV,UFV CASSILANDIA 5,UFV CASSILANDIA 5,UFV CASSILANDIA 5,UFV CASSILANDIA 5,UFV CASSILANDIA 5
UFV JANAUBA VLT IV,UFV PARANAIBA 11,UFV DIAMANTE SOL XV,UFV CASSILANDIA 6,UFV CASSILANDIA 6,UFV CASSILANDIA 6,UFV CASSILANDIA 6,UFV CASSILANDIA 6
UFV PRESIDENTE JUSCELINO I,UFV AURORA 64,UFV DIAMANTE SOL XVI,UFV CASSILANDIA 7,UFV CASSILANDIA 7,UFV CASSILANDIA 7,UFV CASSILANDIA 7,UFV CASSILANDIA 7
UFV PRESIDENTE JUSCELINO II,UFV AURORA 65,UFV DIAMANTE SOL XVII,UFV CASSILANDIA 8,UFV CASSILANDIA 8,UFV CASSILANDIA 8,UFV CASSILANDIA 8,UFV CASSILANDIA 8
UFV PRESIDENTE JK 01,UFV AURORA 66,UFV DIAMANTE SOL XVIII,UFV CELEO BARREIRAS I,UFV CELEO BARREIRAS I,UFV CELEO BARREIRAS I,UFV CELEO BARREIRAS I,UFV CELEO BARREIRAS I
UFV PRESIDENTE JK 02,UFV AURORA 67,UFV DIAMANTE SOL XX,UFV CELEO BARREIRAS II,UFV CELEO BARREIRAS II,UFV CELEO BARREIRAS II,UFV CELEO BARREIRAS II,UFV CELEO BARREIRAS II
UFV PRESIDENTE JK 03,UFV AURORA 68,UFV DIAMANTE SOL XXI,UFV CELEO BARREIRAS III,UFV CELEO BARREIRAS III,UFV CELEO BARREIRAS III,UFV CELEO BARREIRAS III,UFV CELEO BARREIRAS III
UFV PRESIDENTE JK 04,UFV AURORA 69,UFV DIAMANTE SOL XXII,UFV CELEO BARREIRAS IV,UFV CELEO BARREIRAS IV,UFV CELEO BARREIRAS IV,UFV CELEO BARREIRAS IV,UFV CELEO BARREIRAS IV
UFV PRESIDENTE JK 05,UFV AURORA 70,UFV DIAMANTE SOL XXIV,UFV CELEO BARREIRAS IX,UFV CELEO BARREIRAS IX,UFV CELEO BARREIRAS IX,UFV CELEO BARREIRAS IX,UFV CELEO BARREIRAS IX
UFV PRESIDENTE JK 06,UFV SOLAR IRECE 1,UFV DIAMANTE SOL XXV,UFV CELEO BARREIRAS V,UFV CELEO BARREIRAS V,UFV CELEO BARREIRAS V,UFV CELEO BARREIRAS V,UFV CELEO BARREIRAS V
UFV PRESIDENTE JK 07,UFV BELO HORIZONTE 1,UFV DIAMANTE SOL XXVI,UFV CELEO BARREIRAS VI,UFV CELEO BARREIRAS VI,UFV CELEO BARREIRAS VI,UFV CELEO BARREIRAS VI,UFV CELEO BARREIRAS VI
UFV PRESIDENTE JK 08,UFV BELO HORIZONTE 2,UFV DIAMANTE SOL XXVII,UFV CELEO BARREIRAS VII,UFV CELEO BARREIRAS VII,UFV CELEO BARREIRAS VII,UFV CELEO BARREIRAS VII,UFV CELEO BARREIRAS VII
UFV PRESIDENTE JK 09,UFV BELO HORIZONTE 3,UFV DIAMANTE SOL XXVIII,UFV CELEO BARREIRAS VIII,UFV CELEO BARREIRAS VIII,UFV CELEO BARREIRAS VIII,UFV CELEO BARREIRAS VIII,UFV CELEO BARREIRAS VIII
UFV PRESIDENTE JK 10,UFV BELO HORIZONTE 4,UFV DIAMANTE SOL XXIX,UFV CELEO BARREIRAS X,UFV CELEO BARREIRAS X,UFV CELEO BARREIRAS X,UFV CELEO BARREIRAS X,UFV CELEO BARREIRAS X
UFV PRESIDENTE JK 11,UFV BELO HORIZONTE 5,UFV RIBEIRO GONCALVES V,UFV CHAPADAO 1,UFV CHAPADAO 1,UFV CHAPADAO 1,UFV CHAPADAO 1,UFV CHAPADAO 1
UFV PRESIDENTE JK 12,UFV BRX JANAUBA 1,UFV PARANAIBA 1,UFV CHAPADAO 10,UFV CHAPADAO 10,UFV CHAPADAO 10,UFV CHAPADAO 10,UFV CHAPADAO 10
EOL VENTOS DE SAO RICARDO 05,UFV BRX JANAUBA 2,UFV PARANAIBA 2,UFV CHAPADAO 11,UFV CHAPADAO 11,UFV CHAPADAO 11,UFV CHAPADAO 11,UFV CHAPADAO 11
EOL VENTOS DE SAO RICARDO 06,UFV BRX JANAUBA 3,UFV PARANAIBA 3,UFV CHAPADAO 12,UFV CHAPADAO 12,UFV CHAPADAO 12,UFV CHAPADAO 12,UFV CHAPADAO 12
EOL VENTOS DE SAO RICARDO 07,UFV BRX JANAUBA 4,UFV PARANAIBA 4,UFV CHAPADAO 13,UFV CHAPADAO 13,UFV CHAPADAO 13,UFV CHAPADAO 13,UFV CHAPADAO 13
EOL VENTOS DE SAO RICARDO 08,UFV BRX JANAUBA 5,UFV PARANAIBA 5,UFV CHAPADAO 14,UFV CHAPADAO 14,UFV CHAPADAO 14,UFV CHAPADAO 14,UFV CHAPADAO 14
EOL VENTOS DE SAO RICARDO 09,UFV BRX JANAUBA 6,UFV PARANAIBA 6,UFV CHAPADAO 15,UFV CHAPADAO 15,UFV CHAPADAO 15,UFV CHAPADAO 15,UFV CHAPADAO 15
EOL VENTOS DE SAO RICARDO 12,UFV BRX JANAUBA 7,UFV PARANAIBA 7,UFV CHAPADAO 16,UFV CHAPADAO 16,UFV CHAPADAO 16,UFV CHAPADAO 16,UFV CHAPADAO 16
EOL VENTOS DE SAO RICARDO 13,UFV BRX JANAUBA 8,UFV PARANAIBA 8,UFV CHAPADAO 17,UFV CHAPADAO 17,UFV CHAPADAO 17,UFV CHAPADAO 17,UFV CHAPADAO 17
UFV SERRA DO MEL IX,UFV BRX JANAUBA 9,UFV PARANAIBA 9,UFV CHAPADAO 18,UFV CHAPADAO 18,UFV CHAPADAO 18,UFV CHAPADAO 18,UFV CHAPADAO 18
UFV SERRA DO MEL X,UFV BRX JANAUBA 10,UFV PARANAIBA 10,UFV CHAPADAO 19,UFV CHAPADAO 19,UFV CHAPADAO 19,UFV CHAPADAO 19,UFV CHAPADAO 19
UFV SOLAR IRECE 2,UFV BRX JANAUBA 11,UFV PARANAIBA 11,UFV CHAPADAO 2,UFV CHAPADAO 2,UFV CHAPADAO 2,UFV CHAPADAO 2,UFV CHAPADAO 2
UFV NELORE 1,UFV BRX JANAUBA 12,UFV AURORA 64,UFV CHAPADAO 3,UFV CHAPADAO 3,UFV CHAPADAO 3,UFV CHAPADAO 3,UFV CHAPADAO 3
UFV NELORE 2,UFV BRX JANAUBA 13,UFV AURORA 65,UFV CHAPADAO 4,UFV CHAPADAO 4,UFV CHAPADAO 4,UFV CHAPADAO 4,UFV CHAPADAO 4
UFV NELORE 3,UFV CELEO BARREIRAS I,UFV AURORA 66,UFV CHAPADAO 5,UFV CHAPADAO 5,UFV CHAPADAO 5,UFV CHAPADAO 5,UFV CHAPADAO 5
UFV NELORE 4,UFV CELEO BARREIRAS II,UFV AURORA 67,UFV CHAPADAO 6,UFV CHAPADAO 6,UFV CHAPADAO 6,UFV CHAPADAO 6,UFV CHAPADAO 6
UFV NELORE 5,UFV CELEO BARREIRAS III,UFV AURORA 68,UFV CHAPADAO 7,UFV CHAPADAO 7,UFV CHAPADAO 7,UFV CHAPADAO 7,UFV CHAPADAO 7
UFV SKY ARINOS I,UFV CELEO BARREIRAS IV,UFV AURORA 69,UFV CHAPADAO 8,UFV CHAPADAO 8,UFV CHAPADAO 8,UFV CHAPADAO 8,UFV CHAPADAO 8
UFV SKY ARINOS II,UFV CELEO BARREIRAS V,UFV AURORA 70,UFV CHAPADAO 9,UFV CHAPADAO 9,UFV CHAPADAO 9,UFV CHAPADAO 9,UFV CHAPADAO 9
UFV SKY ARINOS III,UFV CELEO BARREIRAS VI,UFV SOLAR IRECE 1,UFV CHATEAU FORT 1,UFV CHATEAU FORT 1,UFV CHATEAU FORT 1,UFV CHATEAU FORT 1,UFV CHATEAU FORT 1
UFV SKY ARINOS IV,UFV CELEO BARREIRAS VII,UFV BELO HORIZONTE 1,UFV CHATEAU FORT 10,UFV CHATEAU FORT 10,UFV CHATEAU FORT 10,UFV CHATEAU FORT 10,UFV CHATEAU FORT 10
UFV SKY ARINOS V,UFV CELEO BARREIRAS VIII,UFV BELO HORIZONTE 2,UFV CHATEAU FORT 2,UFV CHATEAU FORT 2,UFV CHATEAU FORT 2,UFV CHATEAU FORT 2,UFV CHATEAU FORT 2
UFV SKY ARINOS VI,UFV CELEO BARREIRAS IX,UFV BELO HORIZONTE 3,UFV CHATEAU FORT 3,UFV CHATEAU FORT 3,UFV CHATEAU FORT 3,UFV CHATEAU FORT 3,UFV CHATEAU FORT 3
UFV SKY ARINOS VII,UFV CELEO BARREIRAS X,UFV BELO HORIZONTE 4,UFV CHATEAU FORT 4,UFV CHATEAU FORT 4,UFV CHATEAU FORT 4,UFV CHATEAU FORT 4,UFV CHATEAU FORT 4
UFV SKY ARINOS VIII,UFV GAMELEIRA 1,UFV BELO HORIZONTE 5,UFV CHATEAU FORT 5,UFV CHATEAU FORT 5,UFV CHATEAU FORT 5,UFV CHATEAU FORT 5,UFV CHATEAU FORT 5
UFV VARZEA DA PALMA IV,UFV GAMELEIRA 2,UFV BRX JANAUBA 1,UFV CHATEAU FORT 6,UFV CHATEAU FORT 6,UFV CHATEAU FORT 6,UFV CHATEAU FORT 6,UFV CHATEAU FORT 6
UFV VARZEA DA PALMA IX,UFV GAMELEIRA 3,UFV BRX JANAUBA 2,UFV CHATEAU FORT 7,UFV CHATEAU FORT 7,UFV CHATEAU FORT 7,UFV CHATEAU FORT 7,UFV CHATEAU FORT 7
UFV VARZEA DA PALMA V,UFV GAMELEIRA 4,UFV BRX JANAUBA 3,UFV CHATEAU FORT 8,UFV CHATEAU FORT 8,UFV CHATEAU FORT 8,UFV CHATEAU FORT 8,UFV CHATEAU FORT 8
UFV VARZEA DA PALMA VI,UFV INFINITO JANAUBA I,UFV BRX JANAUBA 4,UFV CHATEAU FORT 9,UFV CHATEAU FORT 9,UFV CHATEAU FORT 9,UFV CHATEAU FORT 9,UFV CHATEAU FORT 9
UFV VARZEA DA PALMA VII,UFV INFINITO JANAUBA II,UFV BRX JANAUBA 5,UFV CUMARU SOLAR 01,UFV CUMARU SOLAR 01,UFV CUMARU SOLAR 01,UFV CUMARU SOLAR 01,UFV CUMARU SOLAR 01
UFV VARZEA DA PALMA VIII,UFV INFINITO JANAUBA III,UFV BRX JANAUBA 6,UFV CUMARU SOLAR 02,UFV CUMARU SOLAR 02,UFV CUMARU SOLAR 02,UFV CUMARU SOLAR 02,UFV CUMARU SOLAR 02
EOL VENTOS DE SANTA MARCELLA 01,UFV INFINITO JANAUBA IV,UFV BRX JANAUBA 7,UFV CURRALINHO I,UFV CURRALINHO I,UFV CURRALINHO I,UFV CURRALINHO I,UFV CURRALINHO I
EOL VENTOS DE SANTA MARCELLA 02,UFV INFINITO JANAUBA V,UFV BRX JANAUBA 8,UFV CURRALINHO II,UFV CURRALINHO II,UFV CURRALINHO II,UFV CURRALINHO II,UFV CURRALINHO II
EOL VENTOS DE SANTA MARCELLA 03,UFV INFINITO JANAUBA VI,UFV BRX JANAUBA 9,UFV EMTEP 3,UFV EMTEP 3,UFV EMTEP 3,UFV EMTEP 3,UFV EMTEP 3
EOL VENTOS DE SANTA MARCELLA 04,UFV INFINITO JANAUBA VII,UFV BRX JANAUBA 10,UFV FOTONS DE SAO CLAUS 01,UFV FOTONS DE SAO CLAUS 01,UFV FOTONS DE SAO CLAUS 01,UFV FOTONS DE SAO CLAUS 01,UFV FOTONS DE SAO CLAUS 01
EOL VENTOS DE SANTA MARCELLA 05,UFV INFINITO JANAUBA VIII,UFV BRX JANAUBA 11,UFV FOTONS DE SAO CLAUS 02,UFV FOTONS DE SAO CLAUS 02,UFV FOTONS DE SAO CLAUS 02,UFV FOTONS DE SAO CLAUS 02,UFV FOTONS DE SAO CLAUS 02
EOL VENTOS DE SANTA MARCELLA 06,UFV JANAUBA VLT I,UFV BRX JANAUBA 12,UFV FOTONS DE SAO CLAUS 03,UFV FOTONS DE SAO CLAUS 03,UFV FOTONS DE SAO CLAUS 03,UFV FOTONS DE SAO CLAUS 03,UFV FOTONS DE SAO CLAUS 03
UFV VEREDA 1,UFV JANAUBA VLT II,UFV BRX JANAUBA 13,UFV FOTONS DE SAO CLAUS 04,UFV FOTONS DE SAO CLAUS 04,UFV FOTONS DE SAO CLAUS 04,UFV FOTONS DE SAO CLAUS 04,UFV FOTONS DE SAO CLAUS 04
UFV VEREDA 2,UFV JANAUBA VLT III,UFV CELEO BARREIRAS I,UFV FOTONS DE SAO CLAUS 05,UFV FOTONS DE SAO CLAUS 05,UFV FOTONS DE SAO CLAUS 05,UFV FOTONS DE SAO CLAUS 05,UFV FOTONS DE SAO CLAUS 05
UFV VEREDA 3,UFV JANAUBA VLT IV,UFV CELEO BARREIRAS II,UFV FOTONS DE SAO CLAUS 06,UFV FOTONS DE SAO CLAUS 06,UFV FOTONS DE SAO CLAUS 06,UFV FOTONS DE SAO CLAUS 06,UFV FOTONS DE SAO CLAUS 06
UFV VEREDA 4,UFV PRESIDENTE JUSCELINO I,UFV CELEO BARREIRAS III,UFV FOTONS DE SAO CLAUS 07,UFV FOTONS DE SAO CLAUS 07,UFV FOTONS DE SAO CLAUS 07,UFV FOTONS DE SAO CLAUS 07,UFV FOTONS DE SAO CLAUS 07
UFV VEREDA 5,UFV PRESIDENTE JUSCELINO II,UFV CELEO BARREIRAS IV,UFV FOTONS DE SAO MAGNO 01,UFV FOTONS DE SAO MAGNO 01,UFV FOTONS DE SAO MAGNO 01,UFV FOTONS DE SAO MAGNO 01,UFV FOTONS DE SAO MAGNO 01
UFV VEREDA 6,UFV PRESIDENTE JK 01,UFV CELEO BARREIRAS V,UFV FOTONS DE SAO MAGNO 02,UFV FOTONS DE SAO MAGNO 02,UFV FOTONS DE SAO MAGNO 02,UFV FOTONS DE SAO MAGNO 02,UFV FOTONS DE SAO MAGNO 02
UFV VEREDA 7,UFV PRESIDENTE JK 02,UFV CELEO BARREIRAS VI,UFV FOTONS DE SAO MAGNO 03,UFV FOTONS DE SAO MAGNO 03,UFV FOTONS DE SAO MAGNO 03,UFV FOTONS DE SAO MAGNO 03,UFV FOTONS DE SAO MAGNO 03
UFV VEREDA 8,UFV PRESIDENTE JK 03,UFV CELEO BARREIRAS VII,UFV FOTONS DE SAO MAGNO 04,UFV FOTONS DE SAO MAGNO 04,UFV FOTONS DE SAO MAGNO 04,UFV FOTONS DE SAO MAGNO 04,UFV FOTONS DE SAO MAGNO 04
UFV VEREDA 9,UFV PRESIDENTE JK 04,UFV CELEO BARREIRAS VIII,UFV FOTONS DE SAO MAGNO 05,UFV FOTONS DE SAO MAGNO 05,UFV FOTONS DE SAO MAGNO 05,UFV FOTONS DE SAO MAGNO 05,UFV FOTONS DE SAO MAGNO 05
UFV CASSILANDIA 1,UFV PRESIDENTE JK 05,UFV CELEO BARREIRAS IX,UFV FOTONS DE SAO MAGNO 06,UFV FOTONS DE SAO MAGNO 06,UFV FOTONS DE SAO MAGNO 06,UFV FOTONS DE SAO MAGNO 06,UFV FOTONS DE SAO MAGNO 06
UFV CASSILANDIA 2,UFV PRESIDENTE JK 06,UFV CELEO BARREIRAS X,UFV FOTONS DE SAO MAGNO 07,UFV FOTONS DE SAO MAGNO 07,UFV FOTONS DE SAO MAGNO 07,UFV FOTONS DE SAO MAGNO 07,UFV FOTONS DE SAO MAGNO 07
UFV CASSILANDIA 3,UFV PRESIDENTE JK 07,UFV GAMELEIRA 1,UFV FOTONS DE SAO MAGNO 08,UFV FOTONS DE SAO MAGNO 08,UFV FOTONS DE SAO MAGNO 08,UFV FOTONS DE SAO MAGNO 08,UFV FOTONS DE SAO MAGNO 08
UFV CASSILANDIA 4,UFV PRESIDENTE JK 08,UFV GAMELEIRA 2,UFV FUTURO II,UFV FUTURO II,UFV FUTURO II,UFV FUTURO II,UFV FUTURO II
UFV CASSILANDIA 5,UFV PRESIDENTE JK 09,UFV GAMELEIRA 3,UFV FUTURO III,UFV FUTURO III,UFV FUTURO III,UFV FUTURO III,UFV FUTURO III
UFV CASSILANDIA 6,UFV PRESIDENTE JK 10,UFV GAMELEIRA 4,UFV FUTURO IV,UFV FUTURO IV,UFV FUTURO IV,UFV FUTURO IV,UFV FUTURO IV
UFV AURORA 54,UFV PRESIDENTE JK 11,UFV INFINITO JANAUBA I,UFV FUTURO V,UFV FUTURO V,UFV FUTURO V,UFV FUTURO V,UFV FUTURO V
UFV AURORA 55,UFV PRESIDENTE JK 12,UFV INFINITO JANAUBA II,UFV GAMELEIRA 1,UFV GAMELEIRA 1,UFV GAMELEIRA 1,UFV GAMELEIRA 1,UFV GAMELEIRA 1
UFV AURORA 56,EOL VENTOS DE SAO RICARDO 05,UFV INFINITO JANAUBA III,UFV GAMELEIRA 2,UFV GAMELEIRA 2,UFV GAMELEIRA 2,UFV GAMELEIRA 2,UFV GAMELEIRA 2
UFV AURORA 57,EOL VENTOS DE SAO RICARDO 06,UFV INFINITO JANAUBA IV,UFV GAMELEIRA 3,UFV GAMELEIRA 3,UFV GAMELEIRA 3,UFV GAMELEIRA 3,UFV GAMELEIRA 3
UFV AURORA 58,EOL VENTOS DE SAO RICARDO 07,UFV INFINITO JANAUBA V,UFV GAMELEIRA 4,UFV GAMELEIRA 4,UFV GAMELEIRA 4,UFV GAMELEIRA 4,UFV GAMELEIRA 4
UFV AURORA 59,EOL VENTOS DE SAO RICARDO 08,UFV INFINITO JANAUBA VI,UFV GOLD SOLAR,UFV GOLD SOLAR,UFV GOLD SOLAR,UFV GOLD SOLAR,UFV GOLD SOLAR
UFV AURORA 60,EOL VENTOS DE SAO RICARDO 09,UFV INFINITO JANAUBA VII,UFV GRAVIOLA 1,UFV GRAVIOLA 1,UFV GRAVIOLA 1,UFV GRAVIOLA 1,UFV GRAVIOLA 1
UFV AURORA 61,EOL VENTOS DE SAO RICARDO 12,UFV INFINITO JANAUBA VIII,UFV GRAVIOLA 2,UFV GRAVIOLA 2,UFV GRAVIOLA 2,UFV GRAVIOLA 2,UFV GRAVIOLA 2
UFV AURORA 62,EOL VENTOS DE SAO RICARDO 13,UFV JANAUBA VLT I,UFV GRAVIOLA 3,UFV GRAVIOLA 3,UFV GRAVIOLA 3,UFV GRAVIOLA 3,UFV GRAVIOLA 3
UFV AURORA 63,UFV SERRA DO MEL IX,UFV JANAUBA VLT II,UFV GRAVIOLA 4,UFV GRAVIOLA 4,UFV GRAVIOLA 4,UFV GRAVIOLA 4,UFV GRAVIOLA 4
UFV SANTA LUZIA 10,UFV SERRA DO MEL X,UFV JANAUBA VLT III,UFV GS LASSANCE SOLAR 01,UFV GS LASSANCE SOLAR 01,UFV GS LASSANCE SOLAR 01,UFV GS LASSANCE SOLAR 01,UFV GS LASSANCE SOLAR 01
UFV SANTA LUZIA 11,UFV SOLAR IRECE 2,UFV JANAUBA VLT IV,UFV GS LASSANCE SOLAR 02,UFV GS LASSANCE SOLAR 02,UFV GS LASSANCE SOLAR 02,UFV GS LASSANCE SOLAR 02,UFV GS LASSANCE SOLAR 02
UFV SANTA LUZIA 12,UFV NELORE 1,UFV PRESIDENTE JUSCELINO I,UFV GS LASSANCE SOLAR 03,UFV GS LASSANCE SOLAR 03,UFV GS LASSANCE SOLAR 03,UFV GS LASSANCE SOLAR 03,UFV GS LASSANCE SOLAR 03
