2024,2025,2026,2027,2028,2029,2030,2031
UFV MORRO PRETO 13,UFV GS LASSANCE SOLAR 01,UFV SOL DO AGRESTE II,UFV SOL DE JANA 11,UFV SOL DE JANA 11,UFV SOL DE JANA 11,UFV SOL DE JANA 11,UFV SOL DE JANA 11
UFV MORRO PRETO 14,UFV GS LASSANCE SOLAR 02,UFV SOL DE JANA 1,UFV SOL DE JANA 12,UFV SOL DE JANA 12,UFV SOL DE JANA 12,UFV SOL DE JANA 12,UFV SOL DE JANA 12
UFV MORRO PRETO 15,UFV GS LASSANCE SOLAR 03,UFV SOL DE JANA 10,UFV SOL DE JANA 13,UFV SOL DE JANA 13,UFV SOL DE JANA 13,UFV SOL DE JANA 13,UFV SOL DE JANA 13
UFV MORRO PRETO 16,UFV GS LASSANCE SOLAR 04,UFV SOL DE JANA 11,UFV SOL DE JANA 2,UFV SOL DE JANA 2,UFV SOL DE JANA 2,UFV SOL DE JANA 2,UFV SOL DE JANA 2
UFV MORRO PRETO 17,UFV GS LASSANCE SOLAR 05,UFV SOL DE JANA 12,UFV SOL DE JANA 3,UFV SOL DE JANA 3,UFV SOL DE JANA 3,UFV SOL DE JANA 3,UFV SOL DE JANA 3
UFV MORRO PRETO 18,UFV GS LASSANCE SOLAR 06,UFV SOL DE JANA 13,UFV SOL DE JANA 4,UFV SOL DE JANA 4,UFV SOL DE JANA 4,UFV SOL DE JANA 4,UFV SOL DE JANA 4
UFV MORRO PRETO 19,UFV GS LASSANCE SOLAR 07,UFV SOL DE JANA 2,UFV SOL DE JANA 5,UFV SOL DE JANA 5,UFV SOL DE JANA 5,UFV SOL DE JANA 5,UFV SOL DE JANA 5
UFV MORRO PRETO 20,UFV GS LASSANCE SOLAR 08,UFV SOL DE JANA 3,UFV SOL DE JANA 6,UFV SOL DE JANA 6,UFV SOL DE JANA 6,UFV SOL DE JANA 6,UFV SOL DE JANA 6
UFV MORRO PRETO 21,UFV GS LASSANCE SOLAR 09,UFV SOL DE JANA 4,UFV SOL DE JANA 7,UFV SOL DE JANA 7,UFV SOL DE JANA 7,UFV SOL DE JANA 7,UFV SOL DE JANA 7
UFV MORRO PRETO 22,UFV FOTONS DE SAO CLAUS 01,UFV SOL DE JANA 5,UFV SOL DE JANA 8,UFV SOL DE JANA 8,UFV SOL DE JANA 8,UFV SOL DE JANA 8,UFV SOL DE JANA 8
UFV MORRO PRETO 23,UFV FOTONS DE SAO CLAUS 02,UFV SOL DE JANA 6,UFV SOL DE JANA 9,UFV SOL DE JANA 9,UFV SOL DE JANA 9,UFV SOL DE JANA 9,UFV SOL DE JANA 9
UFV MORRO PRETO 24,UFV FOTONS DE SAO CLAUS 03,UFV SOL DE JANA 7,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I
UFV MORRO PRETO 25,UFV FOTONS DE SAO CLAUS 04,UFV SOL DE JANA 8,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II
UFV MORRO PRETO 26,UFV FOTONS DE SAO CLAUS 05,UFV SOL DE JANA 9,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III
UFV MORRO PRETO 27,UFV FOTONS DE SAO CLAUS 06,UFV PARQUE SOLAR PIRAPORA 1,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV
UFV MORRO PRETO 28,UFV FOTONS DE SAO CLAUS 07,UFV PARQUE SOLAR PIRAPORA 2,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V
UFV MORRO PRETO 29,UFV ARAPUA 5,UFV PARQUE SOLAR PIRAPORA 3,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO
UFV MORRO PRETO 30,UFV ARAPUA 6,UFV PARQUE SOLAR PIRAPORA 4,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1
UFV MORRO PRETO 31,UFV ARAPUA 7,UFV PARQUE SOLAR PIRAPORA 5,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2
UFV MORRO PRETO 32,UFV ARAPUA 8,UFV PARQUE SOLAR PIRAPORA 6,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3
UFV MORRO PRETO 33,UFV NOVA ESPERANCA 1,UFV PARQUE SOLAR PIRAPORA 7,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4
UFV MORRO PRETO 34,UFV NOVA ESPERANCA 2,UFV PARQUE SOLAR PIRAPORA 8,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5
UFV MORRO PRETO 35,UFV NOVA ESPERANCA 3,UFV PARQUE SOLAR PIRAPORA 9,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6
UFV MORRO PRETO 36,UFV RAIOS DE SAO FRANCISCO V,UFV PARQUE SOLAR PIRAPORA 10,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7
UFV MORRO PRETO 37,UFV RAIOS DE SAO FRANCISCO VI,UFV GS LASSANCE SOLAR 01,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1
UFV MORRO PRETO 38,UFV CANOA GRANDE IV,UFV GS LASSANCE SOLAR 02,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2
UFV MORRO PRETO 39,UFV CANOA GRANDE IX,UFV GS LASSANCE SOLAR 03,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO
UFV MORRO PRETO 40,UFV CANOA GRANDE X,UFV GS LASSANCE SOLAR 04,UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1
UFV CANOA GRANDE V,UFV CANOA GRANDE XI,UFV GS LASSANCE SOLAR 05,UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10
UFV CANOA GRANDE VI,UFV SOL DO AGRESTE III,UFV GS LASSANCE SOLAR 06,UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11
UFV CANOA GRANDE VII,UFV SOL DO AGRESTE IV,UFV GS LASSANCE SOLAR 07,UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12
UFV CANOA GRANDE VIII,UFV SOL DO AGRESTE V,UFV GS LASSANCE SOLAR 08,UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2
UFV CANOA GRANDE XII,UFV HELIOS 1,UFV GS LASSANCE SOLAR 09,UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3
UFV CANOA GRANDE XIII,UFV HELIOS 2,UFV FOTONS DE SAO CLAUS 01,UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4
UFV CANOA GRANDE XIV,UFV SOLAR SAO SIMAO,UFV FOTONS DE SAO CLAUS 02,UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5
UFV CANOA GRANDE XV,UFV SOLAR DAS LARANJEIRAS 1,UFV FOTONS DE SAO CLAUS 03,UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6
UFV GSII SOLAR 1,UFV SOLAR DAS LARANJEIRAS 2,UFV FOTONS DE SAO CLAUS 04,UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7
UFV GSII SOLAR 3,UFV SOLAR DAS LARANJEIRAS 3,UFV FOTONS DE SAO CLAUS 05,UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8
,UFV SOLAR DAS LARANJEIRAS 4,UFV FOTONS DE SAO CLAUS 06,UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9
,UFV SOLAR DAS LARANJEIRAS 5,UFV FOTONS DE SAO CLAUS 07,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV TIMBAUBA I
,UFV SOLAR DAS LARANJEIRAS 6,UFV ARAPUA 5,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV TIMBAUBA II
,UFV SOLAR DAS LARANJEIRAS 7,UFV ARAPUA 6,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV TIMBAUBA III
,UFV CUMARU SOLAR 01,UFV ARAPUA 7,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV
,UFV CUMARU SOLAR 02,UFV ARAPUA 8,UFV ULA 04A,UFV ULA 04A,UFV ULA 04A,UFV ULA 04A,UFV ULA 04A
,UFV MORRO PRETO 1,UFV NOVA ESPERANCA 1,UFV ULA 05,UFV ULA 05,UFV ULA 05,UFV ULA 05,UFV ULA 05
,UFV MORRO PRETO 2,UFV NOVA ESPERANCA 2,UFV VARZEA DA PALMA IV,UFV VARZEA DA PALMA IV,UFV VARZEA DA PALMA IV,UFV VARZEA DA PALMA IV,UFV VARZEA DA PALMA IV
,UFV MORRO PRETO 3,UFV NOVA ESPERANCA 3,UFV VARZEA DA PALMA IX,UFV VARZEA DA PALMA IX,UFV VARZEA DA PALMA IX,UFV VARZEA DA PALMA IX,UFV VARZEA DA PALMA IX
,UFV MORRO PRETO 4,UFV RAIOS DE SAO FRANCISCO V,UFV VARZEA DA PALMA V,UFV VARZEA DA PALMA V,UFV VARZEA DA PALMA V,UFV VARZEA DA PALMA V,UFV VARZEA DA PALMA V
,UFV MORRO PRETO 5,UFV RAIOS DE SAO FRANCISCO VI,UFV VARZEA DA PALMA VI,UFV VARZEA DA PALMA VI,UFV VARZEA DA PALMA VI,UFV VARZEA DA PALMA VI,UFV VARZEA DA PALMA VI
,UFV MORRO PRETO 6,UFV CANOA GRANDE IV,UFV VARZEA DA PALMA VII,UFV VARZEA DA PALMA VII,UFV VARZEA DA PALMA VII,UFV VARZEA DA PALMA VII,UFV VARZEA DA PALMA VII
,UFV MORRO PRETO 7,UFV CANOA GRANDE IX,UFV VARZEA DA PALMA VIII,UFV VARZEA DA PALMA VIII,UFV VARZEA DA PALMA VIII,UFV VARZEA DA PALMA VIII,UFV VARZEA DA PALMA VIII
,UFV MORRO PRETO 8,UFV CANOA GRANDE X,UFV VEA II 1,UFV VEA II 1,UFV VEA II 1,UFV VEA II 1,UFV VEA II 1
,UFV MORRO PRETO 9,UFV CANOA GRANDE XI,UFV VEA II 10,UFV VEA II 10,UFV VEA II 10,UFV VEA II 10,UFV VEA II 10
,UFV MORRO PRETO 10,UFV SOL DO AGRESTE III,UFV VEA II 11,UFV VEA II 11,UFV VEA II 11,UFV VEA II 11,UFV VEA II 11
,UFV MORRO PRETO 11,UFV SOL DO AGRESTE IV,UFV VEA II 2,UFV VEA II 2,UFV VEA II 2,UFV VEA II 2,UFV VEA II 2
,UFV MORRO PRETO 12,UFV SOL DO AGRESTE V,UFV VEA II 3,UFV VEA II 3,UFV VEA II 3,UFV VEA II 3,UFV VEA II 3
,UFV MORRO PRETO 13,UFV HELIOS 1,UFV VEA II 4,UFV VEA II 4,UFV VEA II 4,UFV VEA II 4,UFV VEA II 4
,UFV MORRO PRETO 14,UFV HELIOS 2,UFV VEA II 5,UFV VEA II 5,UFV VEA II 5,UFV VEA II 5,UFV VEA II 5
,UFV MORRO PRETO 15,UFV SOLAR SAO SIMAO,UFV VEA II 6,UFV VEA II 6,UFV VEA II 6,UFV VEA II 6,UFV VEA II 6
,UFV MORRO PRETO 16,UFV SOLAR DAS LARANJEIRAS 1,UFV VEA II 7,UFV VEA II 7,UFV VEA II 7,UFV VEA II 7,UFV VEA II 7
,UFV MORRO PRETO 17,UFV SOLAR DAS LARANJEIRAS 2,UFV VEA II 8,UFV VEA II 8,UFV VEA II 8,UFV VEA II 8,UFV VEA II 8
,UFV MORRO PRETO 18,UFV SOLAR DAS LARANJEIRAS 3,UFV VEA II 9,UFV VEA II 9,UFV VEA II 9,UFV VEA II 9,UFV VEA II 9
,UFV MORRO PRETO 19,UFV SOLAR DAS LARANJEIRAS 4,UFV VEREDA 1,UFV VEREDA 1,UFV VEREDA 1,UFV VEREDA 1,UFV VEREDA 1
,UFV MORRO PRETO 20,UFV SOLAR DAS LARANJEIRAS 5,UFV VEREDA 2,UFV VEREDA 2,UFV VEREDA 2,UFV VEREDA 2,UFV VEREDA 2
,UFV MORRO PRETO 21,UFV SOLAR DAS LARANJEIRAS 6,UFV VEREDA 3,UFV VEREDA 3,UFV VEREDA 3,UFV VEREDA 3,UFV VEREDA 3
,UFV MORRO PRETO 22,UFV SOLAR DAS LARANJEIRAS 7,UFV VEREDA 4,UFV VEREDA 4,UFV VEREDA 4,UFV VEREDA 4,UFV VEREDA 4
,UFV MORRO PRETO 23,UFV CUMARU SOLAR 01,UFV VEREDA 5,UFV VEREDA 5,UFV VEREDA 5,UFV VEREDA 5,UFV VEREDA 5
,UFV MORRO PRETO 24,UFV CUMARU SOLAR 02,UFV VEREDA 6,UFV VEREDA 6,UFV VEREDA 6,UFV VEREDA 6,UFV VEREDA 6
,UFV MORRO PRETO 25,UFV MORRO PRETO 1,UFV VEREDA 7,UFV VEREDA 7,UFV VEREDA 7,UFV VEREDA 7,UFV VEREDA 7
,UFV MORRO PRETO 26,UFV MORRO PRETO 2,UFV VEREDA 8,UFV VEREDA 8,UFV VEREDA 8,UFV VEREDA 8,UFV VEREDA 8
,UFV MORRO PRETO 27,UFV MORRO PRETO 3,UFV VEREDA 9,UFV VEREDA 9,UFV VEREDA 9,UFV VEREDA 9,UFV VEREDA 9
,UFV MORRO PRETO 28,UFV MORRO PRETO 4,UFV ZEBU I,UFV ZEBU I,UFV ZEBU I,UFV ZEBU I,UFV ZEBU I
,UFV MORRO PRETO 29,UFV MORRO PRETO 5,UFV ZEBU II,UFV ZEBU II,UFV ZEBU II,UFV ZEBU II,UFV ZEBU II
,UFV MORRO PRETO 30,UFV MORRO PRETO 6,UFV ZEBU III,UFV ZEBU III,UFV ZEBU III,UFV ZEBU III,UFV ZEBU III
,UFV MORRO PRETO 31,UFV MORRO PRETO 7,UFV ZEBU IV,UFV ZEBU IV,UFV ZEBU IV,UFV ZEBU IV,UFV ZEBU IV
,UFV MORRO PRETO 32,UFV MORRO PRETO 8,UFV ZEBU IX,UFV ZEBU IX,UFV ZEBU IX,UFV ZEBU IX,UFV ZEBU IX
,UFV MORRO PRETO 33,UFV MORRO PRETO 9,UFV ZEBU V,UFV ZEBU V,UFV ZEBU V,UFV ZEBU V,UFV ZEBU V
,UFV MORRO PRETO 34,UFV MORRO PRETO 10,UFV ZEBU VI,UFV ZEBU VI,UFV ZEBU VI,UFV ZEBU VI,UFV ZEBU VI
,UFV MORRO PRETO 35,UFV MORRO PRETO 11,UFV ZEBU VII,UFV ZEBU VII,UFV ZEBU VII,UFV ZEBU VII,UFV ZEBU VII
,UFV MORRO PRETO 36,UFV MORRO PRETO 12,UFV ZEBU VIII,UFV ZEBU VIII,UFV ZEBU VIII,UFV ZEBU VIII,UFV ZEBU VIII
,UFV MORRO PRETO 37,UFV MORRO PRETO 13,UTE NOVO TEMPO BARCARENA,UTE NOVO TEMPO BARCARENA,UTE NOVO TEMPO BARCARENA,UTE NOVO TEMPO BARCARENA,UTE NOVO TEMPO BARCARENA
,UFV MORRO PRETO 38,UFV MORRO PRETO 14,UFV ALTO SAO FRANCISCO IV,UFV ALTO SAO FRANCISCO IV,UFV ALTO SAO FRANCISCO IV,UFV ALTO SAO FRANCISCO IV,UFV ALTO SAO FRANCISCO IV
,UFV MORRO PRETO 39,UFV MORRO PRETO 15,UFV ALTO SAO FRANCISCO IX,UFV ALTO SAO FRANCISCO IX,UFV ALTO SAO FRANCISCO IX,UFV ALTO SAO FRANCISCO IX,UFV ALTO SAO FRANCISCO IX
,UFV MORRO PRETO 40,UFV MORRO PRETO 16,UFV ALTO SAO FRANCISCO V,UFV ALTO SAO FRANCISCO V,UFV ALTO SAO FRANCISCO V,UFV ALTO SAO FRANCISCO V,UFV ALTO SAO FRANCISCO V
,UFV CANOA GRANDE V,UFV MORRO PRETO 17,UFV ALTO SAO FRANCISCO VII,UFV ALTO SAO FRANCISCO VII,UFV ALTO SAO FRANCISCO VII,UFV ALTO SAO FRANCISCO VII,UFV ALTO SAO FRANCISCO VII
,UFV CANOA GRANDE VI,UFV MORRO PRETO 18,UFV ALTO SAO FRANCISCO VIII,UFV ALTO SAO FRANCISCO VIII,UFV ALTO SAO FRANCISCO VIII,UFV ALTO SAO FRANCISCO VIII,UFV ALTO SAO FRANCISCO VIII
,UFV CANOA GRANDE VII,UFV MORRO PRETO 19,UFV ALTO SAO FRANCISCO X,UFV ALTO SAO FRANCISCO X,UFV ALTO SAO FRANCISCO X,UFV ALTO SAO FRANCISCO X,UFV ALTO SAO FRANCISCO X
,UFV CANOA GRANDE VIII,UFV MORRO PRETO 20,UFV ALTO SAO FRANCISCO XI,UFV ALTO SAO FRANCISCO XI,UFV ALTO SAO FRANCISCO XI,UFV ALTO SAO FRANCISCO XI,UFV ALTO SAO FRANCISCO XI
,UFV CANOA GRANDE XII,UFV MORRO PRETO 21,UFV ALTO SAO FRANCISCO XII,UFV ALTO SAO FRANCISCO XII,UFV ALTO SAO FRANCISCO XII,UFV ALTO SAO FRANCISCO XII,UFV ALTO SAO FRANCISCO XII
,UFV CANOA GRANDE XIII,UFV MORRO PRETO 22,UFV SANTA LUZIA 10,UFV SANTA LUZIA 10,UFV SANTA LUZIA 10,UFV SANTA LUZIA 10,UFV SANTA LUZIA 10
,UFV CANOA GRANDE XIV,UFV MORRO PRETO 23,UFV SANTA LUZIA 11,UFV SANTA LUZIA 11,UFV SANTA LUZIA 11,UFV SANTA LUZIA 11,UFV SANTA LUZIA 11
,UFV CANOA GRANDE XV,UFV MORRO PRETO 24,UFV SANTA LUZIA 12,UFV SANTA LUZIA 12,UFV SANTA LUZIA 12,UFV SANTA LUZIA 12,UFV SANTA LUZIA 12
,UFV GSII SOLAR 1,UFV MORRO PRETO 25,UFV SANTA LUZIA 13,UFV SANTA LUZIA 13,UFV SANTA LUZIA 13,UFV SANTA LUZIA 13,UFV SANTA LUZIA 13
,UFV GSII SOLAR 3,UFV MORRO PRETO 26,UFV SANTA LUZIA 14,UFV SANTA LUZIA 14,UFV SANTA LUZIA 14,UFV SANTA LUZIA 14,UFV SANTA LUZIA 14
,,UFV MORRO PRETO 27,UFV DIAMANTE SOL I,UFV DIAMANTE SOL I,UFV DIAMANTE SOL I,UFV DIAMANTE SOL I,UFV DIAMANTE SOL I
,,UFV MORRO PRETO 28,UFV DIAMANTE SOL II,UFV DIAMANTE SOL II,UFV DIAMANTE SOL II,UFV DIAMANTE SOL II,UFV DIAMANTE SOL II
,,UFV MORRO PRETO 29,UFV DIAMANTE SOL III,UFV DIAMANTE SOL III,UFV DIAMANTE SOL III,UFV DIAMANTE SOL III,UFV DIAMANTE SOL III
,,UFV MORRO PRETO 30,UFV DIAMANTE SOL IV,UFV DIAMANTE SOL IV,UFV DIAMANTE SOL IV,UFV DIAMANTE SOL IV,UFV DIAMANTE SOL IV
,,UFV MORRO PRETO 31,UFV DIAMANTE SOL V,UFV DIAMANTE SOL V,UFV DIAMANTE SOL V,UFV DIAMANTE SOL V,UFV DIAMANTE SOL V
,,UFV MORRO PRETO 32,UFV DIAMANTE SOL VI,UFV DIAMANTE SOL VI,UFV DIAMANTE SOL VI,UFV DIAMANTE SOL VI,UFV DIAMANTE SOL VI
,,UFV MORRO PRETO 33,UFV DIAMANTE SOL VII,UFV DIAMANTE SOL VII,UFV DIAMANTE SOL VII,UFV DIAMANTE SOL VII,UFV DIAMANTE SOL VII
,,UFV MORRO PRETO 34,UFV DIAMANTE SOL VIII,UFV DIAMANTE SOL VIII,UFV DIAMANTE SOL VIII,UFV DIAMANTE SOL VIII,UFV DIAMANTE SOL VIII
,,UFV MORRO PRETO 35,UFV DIAMANTE SOL X,UFV DIAMANTE SOL X,UFV DIAMANTE SOL X,UFV DIAMANTE SOL X,UFV DIAMANTE SOL X
,,UFV MORRO PRETO 36,UFV DIAMANTE SOL XIII,UFV DIAMANTE SOL XIII,UFV DIAMANTE SOL XIII,UFV DIAMANTE SOL XIII,UFV DIAMANTE SOL XIII
,,UFV MORRO PRETO 37,UFV DIAMANTE SOL XIV,UFV DIAMANTE SOL XIV,UFV DIAMANTE SOL XIV,UFV DIAMANTE SOL XIV,UFV DIAMANTE SOL XIV
,,UFV MORRO PRETO 38,UFV DIAMANTE SOL XV,UFV DIAMANTE SOL XV,UFV DIAMANTE SOL XV,UFV DIAMANTE SOL XV,UFV DIAMANTE SOL XV
,,UFV MORRO PRETO 39,UFV DIAMANTE SOL XVI,UFV DIAMANTE SOL XVI,UFV DIAMANTE SOL XVI,UFV DIAMANTE SOL XVI,UFV DIAMANTE SOL XVI
,,UFV MORRO PRETO 40,UFV DIAMANTE SOL XVII,UFV DIAMANTE SOL XVII,UFV DIAMANTE SOL XVII,UFV DIAMANTE SOL XVII,UFV DIAMANTE SOL XVII
,,UFV CANOA GRANDE V,UFV DIAMANTE SOL XVIII,UFV DIAMANTE SOL XVIII,UFV DIAMANTE SOL XVIII,UFV DIAMANTE SOL XVIII,UFV DIAMANTE SOL XVIII
,,UFV CANOA GRANDE VI,UFV DIAMANTE SOL XX,UFV DIAMANTE SOL XX,UFV DIAMANTE SOL XX,UFV DIAMANTE SOL XX,UFV DIAMANTE SOL XX
,,UFV CANOA GRANDE VII,UFV DIAMANTE SOL XXI,UFV DIAMANTE SOL XXI,UFV DIAMANTE SOL XXI,UFV DIAMANTE SOL XXI,UFV DIAMANTE SOL XXI
,,UFV CANOA GRANDE VIII,UFV DIAMANTE SOL XXII,UFV DIAMANTE SOL XXII,UFV DIAMANTE SOL XXII,UFV DIAMANTE SOL XXII,UFV DIAMANTE SOL XXII
,,UFV CANOA GRANDE XII,UFV DIAMANTE SOL XXIV,UFV DIAMANTE SOL XXIV,UFV DIAMANTE SOL XXIV,UFV DIAMANTE SOL XXIV,UFV DIAMANTE SOL XXIV
,,UFV CANOA GRANDE XIII,UFV DIAMANTE SOL XXV,UFV DIAMANTE SOL XXV,UFV DIAMANTE SOL XXV,UFV DIAMANTE SOL XXV,UFV DIAMANTE SOL XXV
,,UFV CANOA GRANDE XIV,UFV DIAMANTE SOL XXVI,UFV DIAMANTE SOL XXVI,UFV DIAMANTE SOL XXVI,UFV DIAMANTE SOL XXVI,UFV DIAMANTE SOL XXVI
,,UFV CANOA GRANDE XV,UFV DIAMANTE SOL XXVII,UFV DIAMANTE SOL XXVII,UFV DIAMANTE SOL XXVII,UFV DIAMANTE SOL XXVII,UFV DIAMANTE SOL XXVII
,,UFV GSII SOLAR 1,UFV DIAMANTE SOL XXVIII,UFV DIAMANTE SOL XXVIII,UFV DIAMANTE SOL XXVIII,UFV DIAMANTE SOL XXVIII,UFV DIAMANTE SOL XXVIII
,,UFV GSII SOLAR 3,UFV DIAMANTE SOL XXIX,UFV DIAMANTE SOL XXIX,UFV DIAMANTE SOL XXIX,UFV DIAMANTE SOL XXIX,UFV DIAMANTE SOL XXIX
